Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
05/29/2018 11:30,05/29/2018 14:38,EURUSD,Buy,0.08,1.15260,1.15700,0.0000,0.0000,44.0,35.20,0.46,00:03:07:27,100.0,3h 7m,6.2,0.02,45.7,36.56,0.0,0.0,100.0,96.3,-1.70,-1.36
05/29/2018 10:19,05/29/2018 14:38,EURUSD,Buy,0.04,1.15610,1.15700,0.0000,0.0000,9.0,3.60,0.05,00:04:19:00,75.3,3h 15m,26.4,2.47,10.7,4.28,-26.4,-10.56,28.8,95.4,-1.70,-0.68
05/28/2018 14:40,05/29/2018 14:38,EURUSD,Buy,0.01,1.16210,1.15700,0.0000,-0.1300,-51.0,-5.23,-0.07,00:23:57:32,57.5,13h 46m,118.9,6.53,15.8,1.58,-103.1,-10.31,13.3,43.8,-66.80,-6.68
05/29/2018 08:40,05/29/2018 14:38,EURUSD,Buy,0.02,1.15960,1.15700,0.0000,0.0000,-26.0,-5.20,-0.07,00:05:57:46,0.0,0s,83.2,83.33,0.0,0.0,-83.2,-16.64,0.0,68.8,-26.00,-5.20
05/28/2018 12:15,05/29/2018 14:38,EURUSD,Buy,0.01,1.16460,1.15700,0.0000,-0.1300,-76.0,-7.73,-0.10,01:02:23:07,0.0,0s,128.1,128.21,0.0,0.0,-128.1,-12.81,0.0,40.7,-76.00,-7.60
05/28/2018 03:15,05/28/2018 11:00,EURUSD,Sell,0.01,1.17070,1.16740,0.0000,0.0000,33.0,3.30,0.04,00:07:45:35,64.6,5h 0m,20.7,0.46,45.5,4.55,-20.7,-2.07,68.7,81.1,-12.50,-1.25
05/25/2018 14:00,05/28/2018 02:45,EURUSD,Buy,0.01,1.16700,1.17030,0.0000,-0.1300,33.0,3.17,0.04,02:12:45:10,90.4,2d 6h ,28.5,0.71,33.2,3.3200000000000003,-23.5,-2.35,58.6,99.6,-0.20,-0.02
05/25/2018 09:15,05/25/2018 12:29,EURUSD,Buy,0.01,1.16960,1.17290,0.0000,0.0000,33.0,3.30,0.04,00:03:14:56,100.0,3h 14m,5.4,0.03,34.9,3.49,0.0,0.0,100.0,94.6,-1.90,-0.19
05/24/2018 10:22,05/25/2018 08:27,EURUSD,Sell,0.01,1.17360,1.17010,0.0000,0.0100,35.0,3.51,0.05,00:22:04:33,93.3,20h 35m,34.4,0.33,36.9,3.69,-12.2,-1.22,75.2,96.1,-1.90,-0.19
05/24/2018 01:45,05/25/2018 08:27,EURUSD,Sell,0.01,1.17110,1.17010,0.0000,0.0100,10.0,1.01,0.01,01:06:42:04,38.1,11h 41m,50.2,2.86,13.0,1.3,-37.2,-3.7200000000000006,25.9,94.0,-3.00,-0.30
05/23/2018 20:01,05/24/2018 01:25,EURUSD,Buy,0.04,1.16780,1.17130,0.0000,-1.4900,35.0,12.51,0.16,00:05:23:25,99.7,5h 22m,6.1,0.03,35.8,14.32,0.0,0.0,100.0,97.8,-0.80,-0.32
05/23/2018 09:35,05/24/2018 01:25,EURUSD,Buy,0.02,1.17130,1.17130,0.0000,-0.7500,0.0,-0.75,-0.01,00:15:49:47,5.5,52m,52.9,2.27,16.2,0.0,-36.7,-0.0,30.6,69.4,-16.20,0.00
05/23/2018 09:04,05/24/2018 01:25,EURUSD,Buy,0.01,1.17390,1.17130,0.0000,-0.3800,-26.0,-2.98,-0.04,00:16:20:48,0.0,0s,62.7,62.89,0.0,0.0,-62.7,-6.2700000000000005,0.0,58.5,-26.00,-2.60
05/23/2018 03:45,05/24/2018 01:25,EURUSD,Buy,0.01,1.17650,1.17130,0.0000,-0.3800,-52.0,-5.58,-0.07,00:21:40:19,3.9,50m,89.9,36.50,2.4,0.24,-87.5,-8.75,2.7,39.5,-54.40,-5.44
05/22/2018 09:41,05/22/2018 16:50,EURUSD,Sell,0.01,1.18090,1.17740,0.0000,0.0000,35.0,3.50,0.05,00:07:08:18,85.6,6h 6m,21.0,0.35,39.3,3.9299999999999997,-13.8,-1.3800000000000001,74.0,91.9,-4.30,-0.43
05/21/2018 22:00,05/22/2018 16:50,EURUSD,Sell,0.01,1.17840,1.17740,0.0000,0.0100,10.0,1.01,0.01,00:18:50:03,36.1,6h 47m,66.4,1.85,23.3,2.33,-43.1,-4.3100000000000005,35.1,80.0,-13.30,-1.33
05/21/2018 08:36,05/21/2018 14:46,EURUSD,Buy,0.01,1.17350,1.17700,0.0000,0.0000,35.0,3.50,0.05,00:06:09:40,100.0,6h 9m,14.3,0.03,36.5,3.6500000000000004,0.0,0.0,100.0,95.9,-1.50,-0.15
05/18/2018 15:15,05/21/2018 14:46,EURUSD,Buy,0.01,1.17600,1.17700,0.0000,-0.1300,10.0,0.87,0.01,02:23:31:25,83.1,2d 11h ,66.8,1.40,27.8,2.7800000000000002,-39.0,-3.9000000000000004,41.6,73.4,-17.80,-1.78
05/18/2018 08:15,05/18/2018 11:53,EURUSD,Sell,0.01,1.18130,1.17800,0.0000,0.0000,33.0,3.30,0.04,00:03:38:06,100.0,3h 38m,4.1,0.03,34.1,3.41,0.0,0.0,100.0,96.8,-1.10,-0.11
05/17/2018 04:15,05/17/2018 08:24,EURUSD,Sell,0.01,1.18320,1.17990,0.0000,0.0000,33.0,3.30,0.04,00:04:09:28,98.8,4h 6m,18.8,0.03,37.1,3.7100000000000004,-1.2,-0.12,96.9,89.3,-4.10,-0.41
05/16/2018 13:33,05/17/2018 04:10,EURUSD,Buy,0.02,1.17780,1.18210,0.0000,-0.7500,43.0,7.85,0.10,00:14:37:35,100.0,14h 37m,26.0,0.02,56.9,11.38,0.0,0.0,100.0,75.6,-13.90,-2.78
05/16/2018 11:45,05/17/2018 04:10,EURUSD,Buy,0.01,1.18030,1.18210,0.0000,-0.3800,18.0,1.42,0.02,00:16:25:26,72.8,11h 57m,38.1,1.19,31.9,3.19,-38.1,-3.8100000000000005,45.6,80.1,-13.90,-1.39
05/16/2018 00:30,05/17/2018 04:10,EURUSD,Buy,0.01,1.18280,1.18210,0.0000,-0.3800,-7.0,-1.08,-0.01,01:03:40:52,32.9,9h 6m,86.5,2.50,24.7,2.47,-61.8,-6.18,28.6,63.4,-31.70,-3.17
05/15/2018 15:51,05/15/2018 17:20,EURUSD,Buy,0.08,1.18240,1.18670,0.0000,0.0000,43.0,34.40,0.46,00:01:29:17,1.2,1m,0.0,0.02,43.0,34.4,0.0,0.0,100.0,100.0,0.00,0.00
05/15/2018 14:38,05/15/2018 17:20,EURUSD,Buy,0.04,1.18580,1.18670,0.0000,0.0000,9.0,3.60,0.05,00:02:42:09,0.7,1m,0.0,0.11,9.0,3.6,0.0,0.0,100.0,100.0,0.00,0.00
05/15/2018 06:39,05/15/2018 17:20,EURUSD,Buy,0.01,1.19180,1.18670,0.0000,0.0000,-51.0,-5.10,-0.07,00:10:40:50,28.9,3h 5m,111.2,6.00,15.9,1.59,-95.3,-9.53,14.3,39.8,-66.90,-6.69
05/15/2018 13:21,05/15/2018 17:20,EURUSD,Buy,0.02,1.18930,1.18670,0.0000,0.0000,-26.0,-5.20,-0.07,00:03:58:59,0.0,0s,50.4,50.51,0.0,0.0,-50.4,-10.08,0.0,48.4,-26.00,-5.20
05/14/2018 20:02,05/15/2018 17:20,EURUSD,Buy,0.01,1.19430,1.18670,0.0000,-0.1300,-76.0,-7.73,-0.10,00:21:17:58,0.0,0s,118.5,119.05,0.0,0.0,-118.5,-11.850000000000001,0.0,35.9,-76.00,-7.60
05/14/2018 10:57,05/14/2018 20:02,EURUSD,Sell,0.02,1.19850,1.19420,0.0000,0.0000,43.0,8.60,0.11,00:09:05:00,80.0,7h 16m,15.8,0.23,46.4,9.28,-10.7,-2.14,81.3,94.0,-3.40,-0.68
05/11/2018 15:32,05/14/2018 20:02,EURUSD,Sell,0.01,1.19600,1.19420,0.0000,0.0100,18.0,1.81,0.02,03:04:30:14,80.0,2d 13h ,57.8,1.52,22.9,2.29,-34.9,-3.49,39.6,91.5,-4.90,-0.49
