Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit
09/25/2019 18:37,10/09/2019 19:57,EURUSD,Buy,6,0,0,1.09502,1.09743,-12,-985.29,24.1,320.33
10/04/2019 15:32,10/04/2019 23:55,EURUSD,Buy,6,0,0,1.09681,1.09773,-12,0,9.2,490.86
10/04/2019 09:59,10/04/2019 15:32,EURUSD,Buy,6,0,0,1.09662,1.09727,-12,0,6.5,343.43
10/01/2019 23:58,10/02/2019 01:16,EURUSD,Sell,6,0,0,1.09319,1.09312,-12,29.81,0.7,56.23
10/01/2019 17:19,10/01/2019 17:19,EURUSD,Sell,6,0,0,1.09074,1.0905,-12,0,2.4,120.05
09/30/2019 23:57,10/01/2019 08:42,EURUSD,Sell,6,0,0,1.09,1.08889,-12,29.9,11.1,629.53
09/30/2019 23:53,10/01/2019 08:42,EURUSD,Sell,6,0,0,1.09001,1.08888,-12,29.9,11.3,640.56
09/30/2019 22:53,09/30/2019 23:17,EURUSD,Sell,6,0,0,1.09024,1.08999,-12,0,2.5,125.62
09/30/2019 22:30,09/30/2019 23:17,EURUSD,Sell,6,0,0,1.09025,1.08998,-12,0,2.7,136.63
09/25/2019 23:58,09/26/2019 13:16,EURUSD,Sell,6,0,0,1.09432,1.09303,-12,89.36,12.9,785.48
09/25/2019 23:52,09/26/2019 12:37,EURUSD,Sell,6,0,0,1.09423,1.09308,-12,89.36,11.5,708.6
09/18/2019 21:16,09/18/2019 21:16,EURUSD,Buy,6,0,0,1.10258,1.10271,-12,0,1.3,58.73
08/29/2019 16:44,09/17/2019 23:58,EURUSD,Buy,6,0,0,1.10605,1.10713,-12,-1009.55,10.8,-436.25
08/29/2019 18:41,09/17/2019 23:58,EURUSD,Buy,6,0,0,1.10566,1.10722,-12,-1009.55,15.6,-176.19
08/29/2019 19:20,09/17/2019 23:57,EURUSD,Buy,6,0,0,1.10553,1.10716,-12,-1009.55,16.3,-138.21
08/29/2019 19:46,09/17/2019 23:56,EURUSD,Buy,6,0,0,1.10505,1.10712,-12,-1009.55,20.7,100.28
08/29/2019 20:02,09/17/2019 23:56,EURUSD,Buy,6,0,0,1.1047,1.10712,-12,-1009.55,24.2,289.96
08/30/2019 09:35,09/17/2019 23:53,EURUSD,Buy,6,0,0,1.10376,1.10713,-12,-950.86,33.7,863.48
08/30/2019 17:43,09/17/2019 23:52,EURUSD,Buy,6,0,0,1.10339,1.10717,-12,-950.86,37.8,1085.61
