Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price,Commission,Swap,Pips
12/20/2019 13:10,12/20/2019 15:05,XAUUSD,Buy,0.3,1477.78,1479.13,-2.1,0,135
12/19/2019 22:45,12/20/2019 10:35,XAUUSD,Buy,0.2,1479.25,1477.25,-1.4,-1.66,-200
12/19/2019 23:29,12/20/2019 10:35,XAUUSD,Buy,0.2,1478.93,1477.3,-1.4,-1.66,-163
12/20/2019 09:42,12/20/2019 10:20,GBPUSD,Buy,0.3,1.30147,1.30223,-2.1,0,7.6
12/19/2019 22:55,12/20/2019 09:38,GBPUSD,Buy,0.3,1.30134,1.30121,-2.1,-2.12,-1.3
12/19/2019 23:51,12/20/2019 09:05,GBPUSD,Buy,0.3,1.29995,1.30352,-2.1,-2.12,35.7
12/19/2019 23:51,12/20/2019 09:02,GBPUSD,Buy,0.5,1.29995,1.30339,-3.5,-3.53,34.4
12/20/2019 02:46,12/20/2019 07:22,USDJPY,Sell,0.5,109.38,109.318,-3.5,0,6.2
12/20/2019 02:46,12/20/2019 07:22,USDJPY,Sell,0.5,109.38,109.318,-3.5,0,6.2
12/20/2019 03:27,12/20/2019 07:21,XAUUSD,Buy,0.3,1478.31,1479.16,-2.1,0,85
12/19/2019 23:51,12/20/2019 05:22,GBPUSD,Buy,0.5,1.29995,1.3021,-3.5,-3.53,21.5
12/19/2019 23:12,12/20/2019 02:30,USDJPY,Sell,0.5,109.312,109.328,-3.5,-3.64,-1.6
12/19/2019 23:54,12/20/2019 02:30,USDJPY,Sell,0.5,109.368,109.332,-3.5,-3.64,3.6
12/19/2019 23:11,12/20/2019 02:29,USDJPY,Sell,0.5,109.311,109.332,-3.5,-3.64,-2.1
12/20/2019 01:47,12/20/2019 02:29,USDJPY,Sell,0.5,109.383,109.333,-3.5,0,5
12/19/2019 21:46,12/19/2019 22:14,GBPUSD,Buy,0.3,1.30118,1.30227,-2.1,0,10.9
12/19/2019 18:11,12/19/2019 22:13,GBPUSD,Buy,0.3,1.30059,1.30228,-2.1,0,16.9
