Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2020.01.09 20:30:01;Sell;0.02;NZDCAD;0.86567;0.87130;0.86039;2020.01.09 21:00:00;0.86487;-0.14;;1.22;
2020.01.08 23:30:00;Sell;0.02;AUDCAD;0.89565;0.90147;0.88731;2020.01.09 11:00:00;0.89544;-0.14;;0.32;
2020.01.09 01:30:00;Sell;0.01;GBPUSD;1.31039;1.31891;1.30355;2020.01.09 09:34:27;1.31026;-0.07;;0.13;
2020.01.09 01:15:00;Sell;0.04;GBPCHF;1.27561;1.28390;1.26122;2020.01.09 09:15:00;1.27643;-0.28;;-3.37;
2020.01.09 01:30:00;Sell;0.02;GBPCAD;1.70851;1.71962;1.69818;2020.01.09 03:30:00;1.70818;-0.14;;0.50;
2020.01.09 01:45:03;Sell;0.02;NZDCAD;0.86759;0.87323;0.85643;2020.01.09 03:15:00;0.86616;-0.14;;2.20;
2020.01.08 22:15:00;Buy;0.02;GBPCAD;1.70639;1.69530;1.71668;2020.01.08 23:30:01;1.70740;-0.14;;1.55;
2020.01.08 22:45:04;Sell;0.04;GBPNZD;1.97037;1.98318;1.95975;2020.01.08 23:15:01;1.96922;-0.28;;3.06;
2020.01.08 22:45:00;Sell;0.02;GBPAUD;1.90726;1.91966;1.90018;2020.01.08 23:15:00;1.90662;-0.14;;0.88;
2020.01.08 21:30:01;Sell;0.04;CHFJPY;112.137;112.864;110.914;2020.01.08 23:00:00;112.070;-0.28;;2.46;
2020.01.08 21:30:00;Buy;0.02;EURCAD;1.44762;1.43823;1.45485;2020.01.08 23:00:00;1.44832;-0.14;;1.07;
2020.01.08 20:30:01;Buy;0.04;GBPNZD;1.96902;1.95624;1.98911;2020.01.08 22:45:05;1.97037;-0.28;;3.59;
2020.01.08 20:45:01;Sell;0.02;NZDCAD;0.86738;0.87302;0.85666;2020.01.08 21:45:03;0.86658;-0.14;;1.22;
2020.01.08 18:00:00;Buy;0.01;USDJPY;108.628;107.650;109.395;2020.01.08 18:15:02;108.756;-0.07;;1.18;
2020.01.07 22:00:01;Buy;0.02;GBPCAD;1.70630;1.69526;1.71816;2020.01.08 09:45:00;1.70780;-0.14;-0.11;2.31;
2020.01.08 03:15:00;Sell;0.02;AUDNZD;1.03579;1.04099;1.02928;2020.01.08 05:00:00;1.03454;-0.14;;1.66;
2020.01.07 23:00:00;Buy;0.01;GBPUSD;1.31185;1.30333;1.32705;2020.01.08 04:15:00;1.31264;-0.07;-0.04;0.79;
2020.01.08 01:45:00;Sell;0.02;GBPAUD;1.91352;1.92593;1.88689;2020.01.08 03:45:00;1.90931;-0.14;;5.79;
2020.01.08 01:45:00;Sell;0.04;GBPNZD;1.97787;1.99073;1.96609;2020.01.08 03:45:00;1.97644;-0.28;;3.80;
2020.01.08 01:30:01;Buy;0.04;CHFJPY;111.570;110.845;112.246;2020.01.08 03:45:00;111.624;-0.28;;1.99;
2020.01.07 21:45:00;Buy;0.02;GBPAUD;1.91094;1.89858;1.92507;2020.01.08 01:45:01;1.91341;-0.14;-0.04;3.38;
2020.01.07 21:00:01;Buy;0.04;GBPNZD;1.97693;1.96410;1.98991;2020.01.08 01:45:01;1.97788;-0.28;-0.31;2.52;
2020.01.07 22:30:44;Buy;0.02;NZDCAD;0.86321;0.85758;0.86792;2020.01.08 01:15:13;0.86358;-0.14;-0.11;0.57;
2020.01.07 21:00:00;Buy;0.02;EURCAD;1.44917;1.43972;1.45445;2020.01.07 23:15:01;1.44954;-0.14;;0.57;
2020.01.07 20:15:00;Sell;0.02;NZDCAD;0.86418;0.86981;0.85994;2020.01.07 22:30:45;0.86321;-0.14;;1.49;
2020.01.07 00:46:32;Sell;0.02;GBPCAD;1.70838;1.71948;1.69003;2020.01.07 07:45:00;1.70760;-0.14;;1.20;
