Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
04/09/2021 15:25,04/09/2021 17:37,XAUUSD,Buy,0.01,1739.93,1743.57,364,3.64,00:02:11:46,0.08%
04/09/2021 15:20,04/09/2021 17:37,XAUUSD,Buy,0.04,1743.25,1743.57,32,1.28,00:02:16:46,0.03%
04/09/2021 09:30,04/09/2021 17:37,XAUUSD,Buy,0.01,1747.95,1743.57,-438,-4.38,00:08:06:36,-0.09%
04/09/2021 08:47,04/09/2021 17:37,XAUUSD,Buy,0.16,1749.5,1743.57,-593,-94.88,00:08:49:45,-1.97%
04/09/2021 17:48,04/09/2021 18:07,XAUUSD,Sell,0.32,1746.07,1742.82,325,104.0,00:00:19:17,2.11%
04/09/2021 17:37,04/09/2021 18:07,XAUUSD,Sell,0.21,1743.57,1742.82,75,15.75,00:00:30:22,0.32%
04/09/2021 18:07,04/09/2021 18:17,XAUUSD,Buy,0.16,1742.81,1744.46,165,26.4,00:00:09:54,0.53%
04/12/2021 08:30,04/12/2021 09:54,XAUUSD,Buy,0.32,1735.76,1742.02,626,200.32,00:01:24:00,3.96%
04/12/2021 02:01,04/12/2021 09:54,XAUUSD,Buy,0.02,1741.03,1742.02,99,1.98,00:07:53:26,0.04%
04/12/2021 10:29,04/12/2021 12:23,XAUUSD,Buy,0.16,1738.96,1741.32,236,37.76,00:01:54:03,0.72%
04/12/2021 10:24,04/12/2021 12:23,XAUUSD,Buy,0.02,1740.54,1741.32,78,1.56,00:01:59:26,0.03%
04/12/2021 12:38,04/12/2021 13:56,XAUUSD,Sell,0.21,1742.42,1740.49,193,40.53,00:01:17:34,0.77%
04/12/2021 16:53,04/13/2021 05:57,XAUUSD,Buy,0.01,1733.24,1736.32,308,3.08,00:13:03:48,0.06%
04/13/2021 08:30,04/13/2021 15:16,XAUUSD,Buy,0.02,1728.12,1732.68,456,9.12,00:06:45:52,0.17%
04/13/2021 05:57,04/13/2021 15:16,XAUUSD,Buy,0.21,1736.43,1732.68,-375,-78.75,00:09:19:15,-1.47%
04/13/2021 15:16,04/13/2021 15:30,XAUUSD,Sell,0.16,1732.69,1731.25,144,23.04,00:00:14:09,0.44%
04/13/2021 15:30,04/13/2021 15:30,XAUUSD,Sell,0.21,1731.13,1730.13,100,21.0,00:00:00:08,0.40%
04/13/2021 16:31,04/14/2021 16:17,XAUUSD,Sell,0.04,1744.34,1738.57,577,23.08,00:23:45:40,0.44%
04/13/2021 15:45,04/14/2021 16:17,XAUUSD,Sell,0.17,1741.85,1738.57,328,55.76,01:00:31:42,1.08%
04/13/2021 15:40,04/14/2021 16:17,XAUUSD,Sell,0.01,1737.08,1738.57,-149,-1.49,01:00:36:42,-0.03%
04/13/2021 15:30,04/14/2021 16:17,XAUUSD,Sell,0.16,1729.98,1738.57,-859,-137.44,01:00:46:42,-2.59%
04/14/2021 17:20,04/14/2021 17:34,XAUUSD,Buy,0.21,1733.7,1738.17,447,93.87,00:00:13:49,1.79%
04/14/2021 16:33,04/14/2021 17:34,XAUUSD,Buy,0.02,1736.13,1738.17,204,4.08,00:01:01:23,0.08%
04/14/2021 16:17,04/14/2021 17:34,XAUUSD,Buy,0.01,1738.53,1738.17,-36,-0.36,00:01:17:07,-0.01%
