Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price
11/13/2019 11:38,11/13/2019 11:53,GBPUSD,Sell,0.05,1.28464,1.28573
11/13/2019 11:42,11/13/2019 11:53,GBPUSD,Sell,0.05,1.28492,1.28567
11/12/2019 12:07,11/12/2019 16:25,GBPUSD,Buy,0.05,1.28415,1.28443
11/12/2019 12:16,11/12/2019 16:13,GBPUSD,Buy,0.05,1.28336,1.28436
11/07/2019 10:55,11/07/2019 12:10,GBPUSD,Buy,0.05,1.28699,1.2875
11/07/2019 11:45,11/07/2019 12:00,GBPUSD,Buy,0.05,1.28644,1.28673
11/06/2019 12:40,11/06/2019 12:53,GBPUSD,Buy,0.05,1.28807,1.28863
11/05/2019 11:54,11/05/2019 15:58,GBPUSD,Sell,0.05,1.28893,1.28916
11/05/2019 03:58,11/05/2019 15:58,GBPUSD,Sell,0.05,1.28836,1.2892
11/05/2019 12:05,11/05/2019 15:58,GBPUSD,Sell,0.05,1.28934,1.2891
11/05/2019 15:14,11/05/2019 15:58,GBPUSD,Sell,0.05,1.28999,1.2891
11/05/2019 13:52,11/05/2019 14:42,GBPUSD,Sell,0.05,1.29087,1.28969
11/05/2019 12:22,11/05/2019 14:42,GBPUSD,Sell,0.05,1.29004,1.28968
11/05/2019 09:58,11/05/2019 10:46,GBPUSD,Sell,0.05,1.28934,1.28837
11/04/2019 17:37,11/04/2019 17:52,GBPUSD,Buy,0.05,1.29047,1.29147
11/01/2019 16:00,11/01/2019 16:50,GBPUSD,Buy,0.05,1.29622,1.29591
11/01/2019 16:00,11/01/2019 16:50,GBPUSD,Buy,0.05,1.29628,1.2959
11/01/2019 16:00,11/01/2019 16:50,GBPUSD,Buy,0.05,1.29632,1.2959
11/01/2019 16:00,11/01/2019 16:50,GBPUSD,Buy,0.05,1.29617,1.2959
11/01/2019 16:27,11/01/2019 16:49,GBPUSD,Buy,0.05,1.29573,1.2959
11/01/2019 16:36,11/01/2019 16:49,GBPUSD,Buy,0.05,1.29561,1.29594
11/01/2019 16:27,11/01/2019 16:49,GBPUSD,Buy,0.05,1.29573,1.29591
11/01/2019 16:43,11/01/2019 16:49,GBPUSD,Buy,0.05,1.29525,1.29599
11/01/2019 16:36,11/01/2019 16:49,GBPUSD,Buy,0.05,1.2956,1.29598
11/01/2019 16:43,11/01/2019 16:49,GBPUSD,Buy,0.05,1.29525,1.29599
11/01/2019 16:05,11/01/2019 16:22,GBPUSD,Buy,0.05,1.29603,1.29637
11/01/2019 16:05,11/01/2019 16:22,GBPUSD,Buy,0.05,1.29596,1.29641
11/01/2019 16:08,11/01/2019 16:22,GBPUSD,Buy,0.05,1.29577,1.29642
11/01/2019 16:11,11/01/2019 16:22,GBPUSD,Buy,0.05,1.29534,1.29642
11/01/2019 16:08,11/01/2019 16:22,GBPUSD,Buy,0.05,1.29584,1.29642
11/01/2019 16:11,11/01/2019 16:22,GBPUSD,Buy,0.05,1.29534,1.29642
11/01/2019 15:03,11/01/2019 16:00,GBPUSD,Sell,0.05,1.29436,1.29609
11/01/2019 14:59,11/01/2019 16:00,GBPUSD,Sell,0.05,1.29379,1.29609
11/01/2019 15:18,11/01/2019 15:37,GBPUSD,Sell,0.05,1.29503,1.29479
11/01/2019 15:23,11/01/2019 15:37,GBPUSD,Sell,0.05,1.29558,1.29479
11/01/2019 15:29,11/01/2019 15:37,GBPUSD,Sell,0.05,1.29546,1.2948
11/01/2019 13:23,11/01/2019 14:17,GBPUSD,Buy,0.05,1.29545,1.29628
11/01/2019 06:43,,,Withdrawal,0.01,0,0
10/31/2019 14:07,10/31/2019 14:55,GBPUSD,Sell,0.05,1.29621,1.29542
10/31/2019 13:54,10/31/2019 14:55,GBPUSD,Sell,0.05,1.29542,1.29542
10/31/2019 14:24,10/31/2019 14:53,GBPUSD,Sell,0.05,1.29742,1.29622
10/30/2019 08:55,10/30/2019 09:58,GBPUSD,Buy,0.05,1.28813,1.28913
10/29/2019 21:18,,,Withdrawal,0.01,0,0
10/29/2019 16:03,10/29/2019 16:13,GBPUSD,Buy,0.05,1.28734,1.28811
10/29/2019 15:55,10/29/2019 16:13,GBPUSD,Buy,0.05,1.28797,1.28809
10/29/2019 12:54,10/29/2019 12:59,GBPUSD,Buy,0.05,1.2844,1.28695
10/29/2019 12:54,10/29/2019 12:59,GBPUSD,Buy,0.05,1.28443,1.28675
10/29/2019 12:55,10/29/2019 12:59,GBPUSD,Buy,0.05,1.28436,1.28662
10/29/2019 12:47,10/29/2019 12:54,GBPUSD,Sell,0.05,1.28289,1.28452
10/29/2019 11:36,10/29/2019 12:54,GBPUSD,Sell,0.05,1.2817,1.28454
10/29/2019 11:42,10/29/2019 11:59,GBPUSD,Sell,0.05,1.2823,1.2822
10/28/2019 16:35,10/28/2019 17:21,GBPUSD,Buy,0.05,1.28765,1.28677
10/28/2019 16:39,10/28/2019 17:21,GBPUSD,Buy,0.05,1.28708,1.28675
10/28/2019 16:58,10/28/2019 17:16,GBPUSD,Buy,0.05,1.28539,1.28679
10/28/2019 16:40,10/28/2019 17:16,GBPUSD,Buy,0.05,1.28608,1.28676
10/28/2019 16:46,10/28/2019 17:16,GBPUSD,Buy,0.05,1.28572,1.28671
10/28/2019 17:00,10/28/2019 17:16,GBPUSD,Buy,0.05,1.2855,1.28668
10/28/2019 16:40,10/28/2019 17:16,GBPUSD,Buy,0.05,1.28639,1.28668
10/28/2019 16:39,10/28/2019 17:16,GBPUSD,Buy,0.05,1.28648,1.28659
10/28/2019 11:06,10/28/2019 12:26,GBPUSD,Sell,0.05,1.2828,1.2824
10/28/2019 11:12,10/28/2019 12:26,GBPUSD,Sell,0.05,1.28302,1.28247
10/28/2019 11:12,10/28/2019 12:26,GBPUSD,Sell,0.05,1.28324,1.28249
10/28/2019 11:24,10/28/2019 12:21,GBPUSD,Sell,0.05,1.2838,1.28369
10/28/2019 11:44,10/28/2019 12:21,GBPUSD,Sell,0.05,1.2848,1.2837
10/28/2019 11:39,10/28/2019 12:21,GBPUSD,Sell,0.05,1.28404,1.2837
10/28/2019 11:40,10/28/2019 12:21,GBPUSD,Sell,0.05,1.28421,1.28365
10/28/2019 11:39,10/28/2019 12:21,GBPUSD,Sell,0.05,1.28402,1.2837
10/28/2019 11:40,10/28/2019 12:21,GBPUSD,Sell,0.05,1.28417,1.28365
10/28/2019 11:40,10/28/2019 12:21,GBPUSD,Sell,0.05,1.28447,1.28363
10/28/2019 11:40,10/28/2019 12:21,GBPUSD,Sell,0.05,1.28443,1.28364
10/28/2019 06:38,10/28/2019 08:58,GBPUSD,Buy,0.05,1.28204,1.28304
10/25/2019 08:58,10/25/2019 09:38,GBPUSD,Buy,0.05,1.28475,1.28575
10/24/2019 17:00,10/24/2019 17:18,GBPUSD,Sell,0.05,1.28627,1.28547
10/24/2019 17:01,10/24/2019 17:18,GBPUSD,Sell,0.05,1.28673,1.28548
