Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %,,
11/29/2017 20:20,11/29/2017 21:06,EURUSD,Buy,2.79,0,0,1.18505,1.18641,13.6,379.44,00:00:46:00,0.57,,65514.78
11/29/2017 17:10,11/29/2017 20:18,EURUSD,Buy,2.76,0,0,1.1839,1.18518,12.8,353.28,00:03:08:00,0.54,,65135.34
11/29/2017 17:11,11/29/2017 20:18,EURUSD,Buy,2.76,0,0,1.18396,1.18518,12.2,336.72,00:03:07:00,0.51,,64782.06
11/29/2017 13:12,11/29/2017 17:09,EURUSD,Sell,2.77,0,0,1.18355,1.1836,-0.5,-13.85,00:03:57:00,-0.02,,64445.34
11/29/2017 13:13,11/29/2017 17:09,EURUSD,Sell,2.77,0,0,1.18316,1.1836,-4.4,-121.88,00:03:56:00,-0.19,,64459.19
11/29/2017 11:39,11/29/2017 13:11,EURUSD,Sell,2.69,0,0,1.18714,1.18364,35,941.5,00:01:32:00,1.48,,64581.07
11/29/2017 11:40,11/29/2017 13:11,EURUSD,Sell,2.69,0,0,1.18677,1.18364,31.3,841.97,00:01:31:00,1.3,,63639.57
11/29/2017 11:24,11/29/2017 11:38,EURUSD,Sell,2.69,0,0,1.18718,1.18724,-0.6,-16.14,00:00:14:00,-0.03,,62797.6
11/29/2017 11:25,11/29/2017 11:38,EURUSD,Sell,2.69,0,0,1.18713,1.18724,-1.1,-29.59,00:00:13:00,-0.05,,62813.74
11/29/2017 09:58,11/29/2017 11:23,EURUSD,Buy,2.69,0,0,1.18689,1.18708,1.9,51.11,00:01:25:00,0.08,,62843.33
11/29/2017 09:59,11/29/2017 11:23,EURUSD,Buy,2.69,0,0,1.18692,1.18708,1.6,43.04,00:01:24:00,0.07,,62792.22
11/29/2017 09:48,11/29/2017 09:57,EURUSD,Buy,2.67,0,0,1.18595,1.18669,7.4,197.58,00:00:09:00,0.31,,62749.18
11/29/2017 09:49,11/29/2017 09:57,EURUSD,Buy,2.67,0,0,1.18594,1.18669,7.5,200.25,00:00:08:00,0.32,,62551.6
11/29/2017 04:27,11/29/2017 09:47,EURUSD,Buy,2.65,0,0,1.18455,1.18585,13,344.5,00:05:20:00,0.55,,62351.35
11/29/2017 04:28,11/29/2017 09:47,EURUSD,Buy,2.65,0,0,1.18461,1.18585,12.4,328.6,00:05:19:00,0.52,,62006.85
11/28/2017 22:13,11/29/2017 04:26,EURUSD,Sell,2.66,0,0,1.18362,1.18454,-9.2,-231.23,00:06:13:00,-0.37,,61678.25
11/28/2017 22:14,11/29/2017 04:26,EURUSD,Sell,2.66,0,0,1.18399,1.18454,-5.5,-132.81,00:06:12:00,-0.21,,61909.48
11/28/2017 21:42,11/28/2017 22:12,EURUSD,Sell,2.63,0,0,1.18475,1.18332,14.3,376.09,00:00:30:00,0.6,,62042.29
11/28/2017 21:43,11/28/2017 22:12,EURUSD,Sell,2.63,0,0,1.18458,1.18332,12.6,331.38,00:00:29:00,0.53,,61666.2
11/28/2017 21:14,11/28/2017 21:41,EURUSD,Sell,2.64,0,0,1.18465,1.18478,-1.3,-34.32,00:00:27:00,-0.05,,61334.82
11/28/2017 21:15,11/28/2017 21:41,EURUSD,Sell,2.64,0,0,1.18451,1.18478,-2.7,-71.28,00:00:26:00,-0.11,,61369.14
11/28/2017 20:28,11/28/2017 21:13,EURUSD,Sell,2.6,0,0,1.18654,1.18534,12,312,00:00:45:00,0.51,,61440.42
11/28/2017 20:29,11/28/2017 21:13,EURUSD,Sell,2.6,0,0,1.18669,1.18534,13.5,351,00:00:44:00,0.57,,61128.42
11/28/2017 19:56,11/28/2017 20:27,EURUSD,Sell,2.6,0,0,1.1868,1.18676,0.4,10.4,00:00:31:00,0.02,,60777.42
11/28/2017 19:57,11/28/2017 20:27,EURUSD,Sell,2.6,0,0,1.18689,1.18676,1.3,33.8,00:00:30:00,0.05,,60767.02
11/28/2017 16:52,11/28/2017 19:55,EURUSD,Sell,2.56,0,0,1.18857,1.18667,19,486.4,00:03:03:00,0.8,,60733.22
11/28/2017 16:53,11/28/2017 19:55,EURUSD,Sell,2.56,0,0,1.18856,1.18667,18.9,483.84,00:03:02:00,0.79,,60246.82
11/28/2017 16:12,11/28/2017 16:51,EURUSD,Sell,2.55,0,0,1.18901,1.18873,2.8,71.4,00:00:39:00,0.12,,59762.98
11/28/2017 16:13,11/28/2017 16:51,EURUSD,Sell,2.55,0,0,1.18907,1.18873,3.4,86.7,00:00:38:00,0.14,,59691.58
11/28/2017 12:28,11/28/2017 16:11,EURUSD,Buy,2.55,0,0,1.18902,1.18901,-0.1,-2.55,00:03:43:00,0,,59604.88
11/28/2017 12:29,11/28/2017 16:11,EURUSD,Buy,2.55,0,0,1.18901,1.18901,0,0,00:03:42:00,0,,59607.43
11/28/2017 08:42,11/28/2017 12:27,EURUSD,Sell,2.51,0,0,1.1906,1.18898,16.2,406.62,00:03:45:00,0.68,,59607.43
11/28/2017 08:43,11/28/2017 12:27,EURUSD,Sell,2.51,0,0,1.19054,1.18898,15.6,391.56,00:03:44:00,0.65,,59200.81
11/27/2017 19:17,11/27/2017 20:45,EURUSD,Sell,2.49,0,0,1.1913,1.19045,8.5,211.65,00:01:28:00,0.36,,58809.25
11/27/2017 19:18,11/27/2017 20:45,EURUSD,Sell,2.49,0,0,1.1913,1.19045,8.5,211.65,00:01:27:00,0.36,,58597.6
11/27/2017 19:07,11/27/2017 19:16,EURUSD,Buy,2.5,0,0,1.19174,1.19146,-2.8,-70,00:00:09:00,-0.12,,58385.95
11/27/2017 19:08,11/27/2017 19:16,EURUSD,Buy,2.5,0,0,1.19177,1.19146,-3.1,-77.5,00:00:08:00,-0.13,,58455.95
11/27/2017 16:46,11/27/2017 19:06,EURUSD,Sell,2.46,0,0,1.19355,1.19163,19.2,472.32,00:02:20:00,0.81,,58533.45
11/27/2017 16:47,11/27/2017 19:06,EURUSD,Sell,2.46,0,0,1.19348,1.19163,18.5,455.1,00:02:19:00,0.77,,58061.13
